timestamps,CAN_DataFrame.CAN_DataFrame.BusChannel,CAN_DataFrame.CAN_DataFrame.ID,CAN_DataFrame.CAN_DataFrame.IDE,CAN_DataFrame.CAN_DataFrame.DLC,CAN_DataFrame.CAN_DataFrame.DataLength,CAN_DataFrame.CAN_DataFrame.DataBytes,CAN_DataFrame.CAN_DataFrame.Dir,CAN_DataFrame.CAN_DataFrame.EDL,CAN_DataFrame.CAN_DataFrame.BRS
774.73905,1,2015,0,8,8,[ 2  1 12 85 85 85 85 85],1,0,0
774.74355,1,2025,0,8,8,[  4  65  12  19  20 170 170 170],0,0,0
774.7482500000001,1,2024,0,8,8,[ 4 65 12 19 18  0  0  0],0,0,0
774.75225,1,2025,0,8,8,[  3  65  13  49 170 170 170 170],0,0,0
774.7586,1,2024,0,8,8,[ 3 65 13 49  0  0  0  0],0,0,0
774.78075,1,401604624,1,8,8,[32 16  0  0  0  0  0  0],0,0,0
774.8034,1,2025,0,8,8,[  3  65  13  49 170 170 170 170],0,0,0
774.80825,1,2024,0,8,8,[ 3 65 13 49  0  0  0  0],0,0,0
774.83905,1,2015,0,8,8,[ 2  1 12 85 85 85 85 85],1,0,0
774.8443000000001,1,2025,0,8,8,[  4  65  12  19  12 170 170 170],0,0,0
774.84825,1,2024,0,8,8,[ 4 65 12 19 10  0  0  0],0,0,0
774.8536,1,2025,0,8,8,[  3  65  13  49 170 170 170 170],0,0,0
774.8582,1,2024,0,8,8,[ 3 65 13 49  0  0  0  0],0,0,0
774.9036500000001,1,2025,0,8,8,[  3  65  13  49 170 170 170 170],0,0,0
774.9082500000001,1,2024,0,8,8,[ 3 65 13 49  0  0  0  0],0,0,0
774.9390500000001,1,2015,0,8,8,[ 2  1 12 85 85 85 85 85],1,0,0
774.9435500000001,1,2025,0,8,8,[  4  65  12  18 252 170 170 170],0,0,0
774.9482,1,2024,0,8,8,[  4  65  12  18 250   0   0   0],0,0,0
774.9522000000001,1,2025,0,8,8,[  3  65  13  49 170 170 170 170],0,0,0
774.9582,1,2024,0,8,8,[ 3 65 13 49  0  0  0  0],0,0,0
775.0034,1,2025,0,8,8,[  3  65  13  49 170 170 170 170],0,0,0
775.0082500000001,1,2024,0,8,8,[ 3 65 13 49  0  0  0  0],0,0,0
775.0391000000001,1,2015,0,8,8,[ 2  1 12 85 85 85 85 85],1,0,0
775.0441000000001,1,2025,0,8,8,[  4  65  12  18 248 170 170 170],0,0,0
775.0483,1,2024,0,8,8,[  4  65  12  18 248   0   0   0],0,0,0
775.0522500000001,1,2025,0,8,8,[  3  65  13  49 170 170 170 170],0,0,0
775.05825,1,2024,0,8,8,[ 3 65 13 49  0  0  0  0],0,0,0
775.1034500000001,1,2025,0,8,8,[  3  65  13  49 170 170 170 170],0,0,0
775.1083000000001,1,2024,0,8,8,[ 3 65 13 49  0  0  0  0],0,0,0
775.1391000000001,1,2015,0,8,8,[ 2  1 12 85 85 85 85 85],1,0,0
775.1443,1,2025,0,8,8,[  4  65  12  19   4 170 170 170],0,0,0
775.1483000000001,1,2024,0,8,8,[ 4 65 12 19  4  0  0  0],0,0,0
775.1536500000001,1,2025,0,8,8,[  3  65  13  49 170 170 170 170],0,0,0
775.1582500000001,1,2024,0,8,8,[ 3 65 13 49  0  0  0  0],0,0,0
775.2040000000001,1,2025,0,8,8,[  3  65  13  49 170 170 170 170],0,0,0
775.2083,1,2024,0,8,8,[ 3 65 13 49  0  0  0  0],0,0,0
775.2391,1,2015,0,8,8,[ 2  1 12 85 85 85 85 85],1,0,0
775.24455,1,2025,0,8,8,[  4  65  12  19   0 170 170 170],0,0,0
775.2482500000001,1,2024,0,8,8,[ 4 65 12 19  4  0  0  0],0,0,0
775.254,1,2025,0,8,8,[  3  65  13  49 170 170 170 170],0,0,0
775.2582500000001,1,2024,0,8,8,[ 3 65 13 49  0  0  0  0],0,0,0
775.2808,1,401604624,1,8,8,[32 16  0  0  0  0  0  0],0,0,0
775.3039,1,2025,0,8,8,[  3  65  13  49 170 170 170 170],0,0,0
775.3083,1,2024,0,8,8,[ 3 65 13 49  0  0  0  0],0,0,0
775.3391,1,2015,0,8,8,[ 2  1 12 85 85 85 85 85],1,0,0
775.3439500000001,1,2025,0,8,8,[  4  65  12  19  16 170 170 170],0,0,0
775.3483500000001,1,2024,0,8,8,[ 4 65 12 19 18  0  0  0],0,0,0
775.35415,1,2025,0,8,8,[  3  65  13  49 170 170 170 170],0,0,0
775.35825,1,2024,0,8,8,[ 3 65 13 49  0  0  0  0],0,0,0
775.4037500000001,1,2025,0,8,8,[  3  65  13  49 170 170 170 170],0,0,0
775.4082500000001,1,2024,0,8,8,[ 3 65 13 49  0  0  0  0],0,0,0
775.4391,1,2015,0,8,8,[ 2  1 12 85 85 85 85 85],1,0,0
775.4443500000001,1,2025,0,8,8,[  4  65  12  19  24 170 170 170],0,0,0
775.44865,1,2024,0,8,8,[ 4 65 12 19 30  0  0  0],0,0,0
775.45375,1,2025,0,8,8,[  3  65  13  49 170 170 170 170],0,0,0
775.45825,1,2024,0,8,8,[ 3 65 13 49  0  0  0  0],0,0,0
775.5037000000001,1,2025,0,8,8,[  3  65  13  49 170 170 170 170],0,0,0
775.5083000000001,1,2024,0,8,8,[ 3 65 13 49  0  0  0  0],0,0,0
775.5391000000001,1,2015,0,8,8,[ 2  1 12 85 85 85 85 85],1,0,0
775.54385,1,2025,0,8,8,[  4  65  12  19  12 170 170 170],0,0,0
775.5483,1,2024,0,8,8,[ 4 65 12 19 18  0  0  0],0,0,0
775.5529,1,2025,0,8,8,[  3  65  13  49 170 170 170 170],0,0,0
775.5586500000001,1,2024,0,8,8,[ 3 65 13 49  0  0  0  0],0,0,0
775.6035,1,2025,0,8,8,[  3  65  13  49 170 170 170 170],0,0,0
775.6083500000001,1,2024,0,8,8,[ 3 65 13 49  0  0  0  0],0,0,0
775.6391000000001,1,2015,0,8,8,[ 2  1 12 85 85 85 85 85],1,0,0
775.6441500000001,1,2025,0,8,8,[  4  65  12  18 244 170 170 170],0,0,0
775.6483000000001,1,2024,0,8,8,[  4  65  12  18 246   0   0   0],0,0,0
775.6539,1,2025,0,8,8,[  3  65  13  49 170 170 170 170],0,0,0
775.6582500000001,1,2024,0,8,8,[ 3 65 13 49  0  0  0  0],0,0,0
775.7034500000001,1,2025,0,8,8,[  3  65  13  49 170 170 170 170],0,0,0
775.7083,1,2024,0,8,8,[ 3 65 13 49  0  0  0  0],0,0,0
775.7391,1,2015,0,8,8,[ 2  1 12 85 85 85 85 85],1,0,0
775.74395,1,2025,0,8,8,[  4  65  12  18 244 170 170 170],0,0,0
775.7483000000001,1,2024,0,8,8,[  4  65  12  18 248   0   0   0],0,0,0
775.7535,1,2025,0,8,8,[  3  65  13  49 170 170 170 170],0,0,0
775.7582500000001,1,2024,0,8,8,[ 3 65 13 49  0  0  0  0],0,0,0
775.7808,1,401604624,1,8,8,[32 16  0  0  0  0  0  0],0,0,0
775.80375,1,2025,0,8,8,[  3  65  13  49 170 170 170 170],0,0,0
775.8083,1,2024,0,8,8,[ 3 65 13 49  0  0  0  0],0,0,0
775.8391,1,2015,0,8,8,[ 2  1 12 85 85 85 85 85],1,0,0
775.8442500000001,1,2025,0,8,8,[  4  65  12  18 240 170 170 170],0,0,0
775.84825,1,2024,0,8,8,[  4  65  12  18 246   0   0   0],0,0,0
775.8523,1,2025,0,8,8,[  3  65  13  49 170 170 170 170],0,0,0
775.85825,1,2024,0,8,8,[ 3 65 13 49  0  0  0  0],0,0,0
775.90345,1,2025,0,8,8,[  3  65  13  49 170 170 170 170],0,0,0
775.9083,1,2024,0,8,8,[ 3 65 13 49  0  0  0  0],0,0,0
775.9391,1,2015,0,8,8,[ 2  1 12 85 85 85 85 85],1,0,0
775.9439000000001,1,2025,0,8,8,[  4  65  12  18 252 170 170 170],0,0,0
775.9483,1,2024,0,8,8,[  4  65  12  18 252   0   0   0],0,0,0
775.95375,1,2025,0,8,8,[  3  65  13  49 170 170 170 170],0,0,0
775.95825,1,2024,0,8,8,[ 3 65 13 49  0  0  0  0],0,0,0
776.00355,1,2025,0,8,8,[  3  65  13  49 170 170 170 170],0,0,0
776.0083500000001,1,2024,0,8,8,[ 3 65 13 49  0  0  0  0],0,0,0
776.0391500000001,1,2015,0,8,8,[ 2  1 12 85 85 85 85 85],1,0,0
776.0449000000001,1,2025,0,8,8,[  4  65  12  18 248 170 170 170],0,0,0
776.04835,1,2024,0,8,8,[  4  65  12  18 250   0   0   0],0,0,0
776.0537,1,2025,0,8,8,[  3  65  13  49 170 170 170 170],0,0,0
776.05835,1,2024,0,8,8,[ 3 65 13 49  0  0  0  0],0,0,0
776.10395,1,2025,0,8,8,[  3  65  13  49 170 170 170 170],0,0,0
776.10865,1,2024,0,8,8,[ 3 65 13 49  0  0  0  0],0,0,0
776.1391500000001,1,2015,0,8,8,[ 2  1 12 85 85 85 85 85],1,0,0
776.1441000000001,1,2025,0,8,8,[  4  65  12  19   4 170 170 170],0,0,0
776.1486000000001,1,2024,0,8,8,[ 4 65 12 19  8  0  0  0],0,0,0
776.15395,1,2025,0,8,8,[  3  65  13  49 170 170 170 170],0,0,0
776.1585500000001,1,2024,0,8,8,[ 3 65 13 49  0  0  0  0],0,0,0
776.2039000000001,1,2025,0,8,8,[  3  65  13  49 170 170 170 170],0,0,0
776.2085500000001,1,2024,0,8,8,[ 3 65 13 49  0  0  0  0],0,0,0
776.23915,1,2015,0,8,8,[ 2  1 12 85 85 85 85 85],1,0,0
776.2447000000001,1,2025,0,8,8,[  4  65  12  18 224 170 170 170],0,0,0
776.24855,1,2024,0,8,8,[  4  65  12  18 226   0   0   0],0,0,0
776.2546000000001,1,2025,0,8,8,[  3  65  13  49 170 170 170 170],0,0,0
776.2586,1,2024,0,8,8,[ 3 65 13 49  0  0  0  0],0,0,0
776.2808,1,401604624,1,8,8,[32 16  0  0  0  0  0  0],0,0,0
776.3039,1,2025,0,8,8,[  3  65  13  49 170 170 170 170],0,0,0
776.3086000000001,1,2024,0,8,8,[ 3 65 13 49  0  0  0  0],0,0,0
776.33915,1,2015,0,8,8,[ 2  1 12 85 85 85 85 85],1,0,0
776.34455,1,2025,0,8,8,[  4  65  12  18 244 170 170 170],0,0,0
776.34855,1,2024,0,8,8,[  4  65  12  18 246   0   0   0],0,0,0
776.354,1,2025,0,8,8,[  3  65  13  49 170 170 170 170],0,0,0
776.3585,1,2024,0,8,8,[ 3 65 13 49  0  0  0  0],0,0,0
776.4041500000001,1,2025,0,8,8,[  3  65  13  49 170 170 170 170],0,0,0
776.4086500000001,1,2024,0,8,8,[ 3 65 13 49  0  0  0  0],0,0,0
776.4392,1,2015,0,8,8,[ 2  1 12 85 85 85 85 85],1,0,0
776.4444000000001,1,2025,0,8,8,[  4  65  12  19  28 170 170 170],0,0,0
776.4486,1,2024,0,8,8,[ 4 65 12 19 34  0  0  0],0,0,0
776.4538500000001,1,2025,0,8,8,[  3  65  13  49 170 170 170 170],0,0,0
776.45865,1,2024,0,8,8,[ 3 65 13 49  0  0  0  0],0,0,0
776.50365,1,2025,0,8,8,[  3  65  13  49 170 170 170 170],0,0,0
776.5086,1,2024,0,8,8,[ 3 65 13 49  0  0  0  0],0,0,0
776.5392,1,2015,0,8,8,[ 2  1 12 85 85 85 85 85],1,0,0
776.5441500000001,1,2025,0,8,8,[  4  65  12  19  32 170 170 170],0,0,0
776.5485500000001,1,2024,0,8,8,[ 4 65 12 19 32  0  0  0],0,0,0
776.5539500000001,1,2025,0,8,8,[  3  65  13  49 170 170 170 170],0,0,0
776.5593,1,2024,0,8,8,[ 3 65 13 49  0  0  0  0],0,0,0
776.60365,1,2025,0,8,8,[  3  65  13  49 170 170 170 170],0,0,0
776.60855,1,2024,0,8,8,[ 3 65 13 49  0  0  0  0],0,0,0
776.6392000000001,1,2015,0,8,8,[ 2  1 12 85 85 85 85 85],1,0,0
776.6446000000001,1,2025,0,8,8,[  4  65  12  19  36 170 170 170],0,0,0
776.6486000000001,1,2024,0,8,8,[ 4 65 12 19 38  0  0  0],0,0,0
776.65335,1,2025,0,8,8,[  3  65  13  49 170 170 170 170],0,0,0
776.6585500000001,1,2024,0,8,8,[ 3 65 13 49  0  0  0  0],0,0,0
776.7039000000001,1,2025,0,8,8,[  3  65  13  49 170 170 170 170],0,0,0
776.7086,1,2024,0,8,8,[ 3 65 13 49  0  0  0  0],0,0,0
776.7392000000001,1,2015,0,8,8,[ 2  1 12 85 85 85 85 85],1,0,0
776.7439,1,2025,0,8,8,[  4  65  12  19  32 170 170 170],0,0,0
776.74855,1,2024,0,8,8,[ 4 65 12 19 28  0  0  0],0,0,0
776.7538000000001,1,2025,0,8,8,[  3  65  13  49 170 170 170 170],0,0,0
776.75855,1,2024,0,8,8,[ 3 65 13 49  0  0  0  0],0,0,0
776.7808500000001,1,401604624,1,8,8,[32 16  0  0  0  0  0  0],0,0,0
776.8037,1,2025,0,8,8,[  3  65  13  49 170 170 170 170],0,0,0
776.8085500000001,1,2024,0,8,8,[ 3 65 13 49  0  0  0  0],0,0,0
776.8392,1,2015,0,8,8,[ 2  1 12 85 85 85 85 85],1,0,0
776.84465,1,2025,0,8,8,[  4  65  12  19  24 170 170 170],0,0,0
776.8486,1,2024,0,8,8,[ 4 65 12 19 24  0  0  0],0,0,0
776.8542,1,2025,0,8,8,[  3  65  13  49 170 170 170 170],0,0,0
776.85855,1,2024,0,8,8,[ 3 65 13 49  0  0  0  0],0,0,0
776.9039,1,2025,0,8,8,[  3  65  13  49 170 170 170 170],0,0,0
776.9086000000001,1,2024,0,8,8,[ 3 65 13 49  0  0  0  0],0,0,0
776.9392,1,2015,0,8,8,[ 2  1 12 85 85 85 85 85],1,0,0
776.9443500000001,1,2025,0,8,8,[  4  65  12  19  16 170 170 170],0,0,0
776.94865,1,2024,0,8,8,[ 4 65 12 19 16  0  0  0],0,0,0
776.95415,1,2025,0,8,8,[  3  65  13  49 170 170 170 170],0,0,0
776.9585500000001,1,2024,0,8,8,[ 3 65 13 49  0  0  0  0],0,0,0
777.0042000000001,1,2025,0,8,8,[  3  65  13  49 170 170 170 170],0,0,0
777.0086500000001,1,2024,0,8,8,[ 3 65 13 49  0  0  0  0],0,0,0
777.03925,1,2015,0,8,8,[ 2  1 12 85 85 85 85 85],1,0,0
777.0444500000001,1,2025,0,8,8,[  4  65  12  19  20 170 170 170],0,0,0
777.0486000000001,1,2024,0,8,8,[ 4 65 12 19 18  0  0  0],0,0,0
777.0541000000001,1,2025,0,8,8,[  3  65  13  49 170 170 170 170],0,0,0
777.0585500000001,1,2024,0,8,8,[ 3 65 13 49  0  0  0  0],0,0,0
777.1039000000001,1,2025,0,8,8,[  3  65  13  49 170 170 170 170],0,0,0
777.1086,1,2024,0,8,8,[ 3 65 13 49  0  0  0  0],0,0,0
777.1392500000001,1,2015,0,8,8,[ 2  1 12 85 85 85 85 85],1,0,0
777.14385,1,2025,0,8,8,[  4  65  12  19  32 170 170 170],0,0,0
777.1486000000001,1,2024,0,8,8,[ 4 65 12 19 30  0  0  0],0,0,0
777.154,1,2025,0,8,8,[  3  65  13  49 170 170 170 170],0,0,0
777.1586000000001,1,2024,0,8,8,[ 3 65 13 49  0  0  0  0],0,0,0
777.20375,1,2025,0,8,8,[  3  65  13  49 170 170 170 170],0,0,0
777.20905,1,2024,0,8,8,[ 3 65 13 50  0  0  0  0],0,0,0
777.2392500000001,1,2015,0,8,8,[ 2  1 12 85 85 85 85 85],1,0,0
777.2446500000001,1,2025,0,8,8,[  4  65  12  19  36 170 170 170],0,0,0
777.24865,1,2024,0,8,8,[ 4 65 12 19 34  0  0  0],0,0,0
